Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Spndng_2017,Tot_Spndng_2018,Tot_Spndng_2019,Tot_Spndng_2020,Tot_Spndng_2021
Letrozole,Letrozole,Accord Healthca,5042890,5954902,7216739,9331263,9583188
Carbidopa-Levodopa ER,Carbidopa/Levodopa,Accord Healthca,8833289,2514374,3624295,7226199,10133766
Eplerenone,Eplerenone,Accord Healthca,0,2787,1667461,6648478,11401989
Mycophenolate Mofetil,Mycophenolate Mofetil,Accord Healthca,12882716,18511298,14140629,13920934,11647592
Sertraline HCl,Sertraline HCl,Accord Healthca,4861978,10094218,8119904,8231252,11888686
Dalfampridine ER,Dalfampridine,Accord Healthca,0,2089572,12449313,15019603,12875553
Daptomycin,Daptomycin,Accord Healthca,0,0,2687657,14734041,15055876
Clozapine,Clozapine,Accord Healthca,702874,1004310,7570411,22770911,15617510
Levothyroxine Sodium*,Levothyroxine Sodium,Accord Healthca,0,0,0,3570,16012989
Mycophenolic Acid,Mycophenolate Sodium,Accord Healthca,52893,4423437,9987295,16688495,16868360
Cinacalcet HCl,Cinacalcet HCl,Accord Healthca,0,0,0,6042030,16933909
Buspirone HCl,Buspirone HCl,Accord Healthca,5776954,15451886,25541196,23809359,17191338
Montelukast Sodium,Montelukast Sodium,Accord Healthca,11600002,16728084,19121730,19941073,17263254
Dimethyl Fumarate,Dimethyl Fumarate,Accord Healthca,0,0,0,0,17586271
Methotrexate*,Methotrexate Sodium,Accord Healthca,0,0,0,1994387,19712350
Olmesartan Medoxomil,Olmesartan Medoxomil,Accord Healthca,266791,9906930,10042571,10916679,19774357
Hydroxychloroquine Sulfate,Hydroxychloroquine Sulfate,Accord Healthca,0,0,0,1240894,22426964
Ezetimibe,Ezetimibe,Accord Healthca,0,0,535405,11898970,22739750
Doxazosin Mesylate,Doxazosin Mesylate,Accord Healthca,26014381,35468329,28138816,25798832,22977909
Glimepiride,Glimepiride,Accord Healthca,42439486,55058332,48658350,30634298,24241786
Bupropion XL,Bupropion HCl,Accord Healthca,0,269287,4892097,25989177,24938918
Aripiprazole,Aripiprazole,Accord Healthca,2936248,26450100,35510369,28665648,25684741
Quetiapine Fumarate ER,Quetiapine Fumarate,Accord Healthca,57627298,45747901,41025216,33966052,26551654
Clopidogrel,Clopidogrel Bisulfate,Accord Healthca,33082398,34888975,54627658,56719914,26702435
Anastrozole,Anastrozole,Accord Healthca,13712190,15987918,22506080,23982294,28615013
Spironolactone,Spironolactone,Accord Healthca,1468519,13601765,22831627,24010810,30153716
Escitalopram Oxalate,Escitalopram Oxalate,Accord Healthca,20138922,26337284,33581263,27317920,36270237
Quetiapine Fumarate,Quetiapine Fumarate,Accord Healthca,52104656,54873836,52246199,40031131,36670612
Clonazepam,Clonazepam,Accord Healthca,11951314,28175006,32295891,37919587,36999166
Amitriptyline HCl,Amitriptyline HCl,Accord Healthca,29846308,43655147,45567879,36395238,37279804
Allopurinol,Allopurinol,Accord Healthca,27952685,38635151,42940420,36189174,37975598
Atorvastatin Calcium,Atorvastatin Calcium,Accord Healthca,0,1972976,31692505,63641155,41285648
Oxybutynin Chloride ER,Oxybutynin Chloride,Accord Healthca,7664253,27893475,51466974,50127268,41477032
Hydrochlorothiazide,Hydrochlorothiazide,Accord Healthca,44748493,56303078,57184351,52232295,43297471
Finasteride,Finasteride,Accord Healthca,33540304,35727223,44947293,47779419,50313309
Simvastatin,Simvastatin,Accord Healthca,72453508,89875414,94664131,63715483,75400201
Fluorouracil*,Fluorouracil,Accord Healthca*,79262,60778,82338,77258,121800
Tacrolimus*,Tacrolimus,Accord Healthca*,20188520,17954978,21255731,25530400,28733349
Mitomycin,Mitomycin,Accord/Novaplus,32442,44237,97963,58455,62840
Benzonatate,Benzonatate,Acella Pharmace,0,0,0,0,119
Brompheniramine-Pseudoephed-DM,Brompheniramine/Pseudoephed/DM,Acella Pharmace,0,0,354,3283,2115
PNV-Omega,Mv-Mins 71/Iron/Folic No.1/DHA,Acella Pharmace,0,1137,1800,1873,2154
Salsalate,Salsalate,Acella Pharmace,214418,171183,182559,34956,2887
Salicylic Acid,Salicylic Acid,Acella Pharmace,14416,14437,4076,8255,7801
Ciclopirox,Ciclopirox/Urea/Camph/Men/Euc,Acella Pharmace,14710,11124,0,0,9282
PNV-Select,"Prenatal,Calc.40/Iron/Folate 1",Acella Pharmace,28853,4431,12381,13875,10066
Selenium Sulfide,Selenium Sulfide,Acella Pharmace,2077,15069,2789,879,10416
PNV-DHA,Multivit 47/Iron/Folate 1/DHA,Acella Pharmace,68520,10807,20804,17713,15496
Nifedipine,Nifedipine,Acella Pharmace,0,0,0,0,28613
Phenazopyridine HCl,Phenazopyridine HCl,Acella Pharmace,226370,232304,144424,66649,60151
Sodium Sulfacetamide-Sulfur,Sulfacetamide Sodium/Sulfur,Acella Pharmace,6212,30678,69574,69484,61413
Doxycycline Hyclate*,Doxycycline Hyclate,Acella Pharmace,0,0,0,0,62695
Ciclopirox,Ciclopirox,Acella Pharmace,0,0,0,366653,2365822
Gabapentin,Gabapentin,Acella Pharmace,26828,1135722,3189751,4197094,4499043
NP Thyroid,"Thyroid,Pork",Acella Pharmace,1316076,2326065,3618284,4392578,4898680
Hyoscyamine Sulfate*,Hyoscyamine Sulfate,Acella Pharmace*,77454,58133,73003,4716,37118
Natesto,Testosterone,Acerus Pharma,0,0,0,107433,446123
Olanzapine*,Olanzapine,Acetris Health,12802,12980,12291,4183,692
Dextroamphetamine-Amphetamine,Dextroamphetamine/Amphetamine,Acetris Health,0,6672,1677,1842,792
Losartan-Hydrochlorothiazide,Losartan/Hydrochlorothiazide,Acetris Health,6938,6155,9327,7197,1012
Levofloxacin*,Levofloxacin,Acetris Health,7970,5824,1059,1755,1856
Fluconazole,Fluconazole,Acetris Health,52480,59112,44874,21365,4930
Valacyclovir,Valacyclovir HCl,Acetris Health,6592,6367,8768,8768,8192
Metoprolol Tartrate*,Metoprolol Tartrate,Acetris Health,98267,41248,39815,53972,8856
Levetiracetam*,Levetiracetam,Acetris Health,67135,38949,58688,50830,18182
Simvastatin,Simvastatin,Acetris Health,174011,92675,97618,96332,24388
Venlafaxine HCl ER,Venlafaxine HCl,Acetris Health,9129,19929,22963,28922,24579
Montelukast Sodium,Montelukast Sodium,Acetris Health,55981,29186,55760,76449,36244
Pioglitazone HCl,Pioglitazone HCl,Acetris Health,46460,46609,46789,46861,39405
Donepezil HCl,Donepezil HCl,Aci Healthcare,0,0,0,0,309
Tramadol HCl,Tramadol HCl,Aci Healthcare,0,0,0,0,656
Levetiracetam*,Levetiracetam,Aci Healthcare,0,0,0,689,28112
Sertraline HCl,Sertraline HCl,Aci Healthcare,0,0,0,0,164311
Metformin HCl,Metformin HCl,Aci Healthcare,0,365902,4476316,3447089,364028
Quetiapine Fumarate ER,Quetiapine Fumarate,Aci Healthcare,0,1941281,4685040,1131629,1023379
Methocarbamol*,Methocarbamol,Aci Healthcare,0,0,800135,1808153,2851134
Cinacalcet HCl,Cinacalcet HCl,Aci Healthcare,0,0,0,0,3755255
Zolpidem Tartrate*,Zolpidem Tartrate,Aci Healthcare,0,0,0,64353,4212773
Gabapentin,Gabapentin,Aci Healthcare,776007,27019500,58653963,32453916,19541750
Amlodipine Besylate,Amlodipine Besylate,Aci Healthcare,0,76,17669854,22848490,22302805
Rhofade,Oxymetazoline HCl,Aclairs/Epi Hea,0,0,0,1198453,491011
Inbrija,Levodopa,Acorda Therapeu,0,0,11738371,20360135,25158886
Ampyra,Dalfampridine,Acorda Therapeu,238698058,282276840,102231983,72053833,55939976
Hemady,Dexamethasone,Acrotech Biopha,0,0,0,2260,68013
Minastrin 24 Fe,Norethindrone-E.Estradiol-Iron,Actavis/Allerga,135830,85311,64643,55143,51504
Femhrt,Norethindrone Ac-Eth Estradiol,Actavis/Allerga,282373,254273,207969,178349,153657
Atelvia,Risedronate Sodium,Actavis/Allerga,2577917,1404220,910045,606173,398804
Lo Loestrin Fe,Norethindrone-E.Estradiol-Iron,Actavis/Allerga,508389,616460,828182,960598,999310
Actonel,Risedronate Sodium,Actavis/Allerga,4832386,3671232,2907326,2358869,1788278
Estrace*,Estradiol,Actavis/Allerga*,177536865,85944882,52952974,36113388,4505610
Risedronate Sodium,Risedronate Sodium,Actavis/Greenst,8134248,2839223,1897363,338472,28386
Progesterone,Progesterone,Actavis/Teva,4299,3406,2552,2578,1216
Lovastatin,Lovastatin,Actavis/Teva,1172919,838411,342377,40204,2073
Hydromet,Hydrocodone Bit/Homatrop Me-Br,Actavis/Teva,17577,9318,5892,3281,2395
Orphenadrine Citrate,Orphenadrine Citrate,Actavis/Teva,129982,162883,21426,15447,2522
Vinorelbine Tartrate,Vinorelbine Tartrate,Actavis/Teva,0,1800,3706,3528,3357
Docetaxel,Docetaxel,Actavis/Teva,20585,35848,13369,0,4530
Topotecan HCl,Topotecan HCl,Actavis/Teva,0,0,0,0,5026
Fluocinolone Acetonide,Fluocinolone Acetonide,Actavis/Teva,1096057,228386,20953,6281,5184
Paclitaxel,Paclitaxel,Actavis/Teva,36989,44036,82431,45911,6454
Nizatidine,Nizatidine,Actavis/Teva,121410,204439,553506,297063,8224
Alprazolam ODT,Alprazolam,Actavis/Teva,404133,497051,526783,185660,8547
Doxorubicin HCl,Doxorubicin HCl,Actavis/Teva,2448,3326,7011,6501,10820
Metoprolol Tartrate*,Metoprolol Tartrate,Actavis/Teva,712682,312806,224270,90532,11933
Irinotecan HCl,Irinotecan HCl,Actavis/Teva,14151,9072,13404,29407,15140
Metformin HCl ER,Metformin HCl,Actavis/Teva,590735,559020,279793,141247,21830
Ipratropium Bromide*,Ipratropium Bromide,Actavis/Teva,680892,503485,298286,128595,21932
Fosaprepitant Dimeglumine,Fosaprepitant Dimeglumine,Actavis/Teva,0,0,5555,63145,22058
Ibuprofen,Ibuprofen,Actavis/Teva,185775,108502,42322,26108,24671
Griseofulvin,"Griseofulvin, Microsize",Actavis/Teva,22471,27526,48373,39254,25635
Doxylamine Succ-Pyridoxine HCl,Doxylamine Succinate/Vit B6,Actavis/Teva,0,0,34643,50350,28355
Taztia Xt,Diltiazem HCl,Actavis/Teva,2393762,1297088,246585,85410,28376
Phenadoz,Promethazine HCl,Actavis/Teva,2479137,1449660,1116395,314580,28463
Oxaliplatin,Oxaliplatin,Actavis/Teva,9265,25610,16328,41260,28612
Modafinil,Modafinil,Actavis/Teva,2712369,1338079,371834,89909,31283
Naproxen Sodium ER,Naproxen Sodium,Actavis/Teva,485182,1418247,266429,23403,34780
Layolis Fe,Noreth-Ethinyl Estradiol/Iron,Actavis/Teva,27558,26531,34456,35676,37500
Glyburide-Metformin HCl,Glyburide/Metformin HCl,Actavis/Teva,113480,71668,54815,45576,37659
Nifedipine,Nifedipine,Actavis/Teva,919370,1148407,375793,242781,38037
Clarithromycin ER,Clarithromycin,Actavis/Teva,1011999,643943,212161,28108,38653
Propafenone HCl ER,Propafenone HCl,Actavis/Teva,4285317,143123,42224,74375,40610
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos/Benzoyl Perox,Actavis/Teva,0,0,47836,45371,41306
Amethyst,Levonorgestrel/Ethin.Estradiol,Actavis/Teva,50600,56853,55137,50941,41430
Norethindrone-E.Estradiol-Iron,Norethindrone-E.Estradiol-Iron,Actavis/Teva,22320,37790,46305,57529,47297
Carisoprodol,Carisoprodol,Actavis/Teva,1880500,2158531,1113836,177595,52284
Oxycodone HCl,Oxycodone HCl,Actavis/Teva,25673384,11540276,2965420,451577,52362
Darifenacin ER,Darifenacin Hydrobromide,Actavis/Teva,7267990,4837162,2906911,859736,55605
Nateglinide,Nateglinide,Actavis/Teva,5488863,1418958,156282,88136,60965
Clindamycin Phos-Tretinoin,Clindamycin/Tretinoin,Actavis/Teva,130096,145147,81823,94916,65096
Nora-Be,Norethindrone,Actavis/Teva,136219,69053,67448,69260,65427
Levetiracetam*,Levetiracetam,Actavis/Teva,244697,161618,144243,126403,70204
Minoxidil,Minoxidil,Actavis/Teva,2825508,2688708,2837177,1384548,85288
Adapalene,Adapalene,Actavis/Teva,94261,102734,99629,87827,91471
Miconazole 3,Miconazole Nitrate,Actavis/Teva,85051,90861,67070,82526,92589
Betamethasone Valerate,Betamethasone Valerate,Actavis/Teva,2762102,862441,187125,135423,93180
Buprenorphine-Naloxone,Buprenorphine HCl/Naloxone HCl,Actavis/Teva,9575299,5200436,1078259,273824,106741
Fluocinonide,Fluocinonide,Actavis/Teva,3590905,4403780,3655797,124512,110324
Clindamycin HCl,Clindamycin HCl,Actavis/Teva,6545635,5058306,1160870,586664,113160
Amantadine,Amantadine HCl,Actavis/Teva,4912047,6875563,5823577,2835484,114587
Podofilox,Podofilox,Actavis/Teva,155487,158258,183984,162308,117857
Doxycycline Hyclate*,Doxycycline Hyclate,Actavis/Teva,12974657,7709144,1014786,613559,121612
Metformin ER Osmotic,Metformin HCl,Actavis/Teva,34623570,15973888,852009,188854,143776
Galantamine ER,Galantamine HBr,Actavis/Teva,3973809,2460865,935581,788247,146123
Methylprednisolone,Methylprednisolone,Actavis/Teva,1921669,700167,617667,432237,158308
Alprazolam ER,Alprazolam,Actavis/Teva,795559,865457,477215,188500,165015
Clonazepam,Clonazepam,Actavis/Teva,4998681,7048547,14136701,953979,174732
Bosentan,Bosentan,Actavis/Teva,0,0,83670,246809,183211
Amoxapine,Amoxapine,Actavis/Teva,687192,220879,315061,223170,192816
Promethazine HCl*,Promethazine HCl,Actavis/Teva,1254241,907461,691991,533403,202803
Ciprofloxacin HCl*,Ciprofloxacin HCl,Actavis/Teva,637988,1055639,435769,396585,205921
Penicillamine,Penicillamine,Actavis/Teva,0,0,2631648,3536113,252570
Tranexamic Acid*,Tranexamic Acid,Actavis/Teva,492272,458068,543300,300097,252744
Clonidine HCl ER,Clonidine HCl,Actavis/Teva,836209,762780,403126,256814,253929
Tizanidine HCl,Tizanidine HCl,Actavis/Teva,6996740,2982123,1039570,432269,257033
Desoximetasone,Desoximetasone,Actavis/Teva,1404721,1240538,795689,314212,272427
Isradipine,Isradipine,Actavis/Teva,1239925,884816,602540,244486,355128
Fioricet With Codeine,Butalbit/Acetamin/Caff/Codeine,Actavis/Teva,459268,406210,302822,376401,394214
Propafenone HCl,Propafenone HCl,Actavis/Teva,4333143,4575225,5897360,6241224,403697
Nitrofurantoin,Nitrofurantoin Macrocrystal,Actavis/Teva,996646,328070,276184,721342,430207
Ondansetron HCl*,Ondansetron HCl,Actavis/Teva,5555826,2523119,1210444,798681,432633
Desmopressin Acetate*,Desmopressin Acetate,Actavis/Teva,3905300,3487087,1032890,727158,433131
Probenecid-Colchicine,Probenecid/Colchicine,Actavis/Teva,1319232,753231,707596,748744,445178
Minocycline HCl,Minocycline HCl,Actavis/Teva,1564014,2015413,1817146,1399881,477144
Butalbital Compound-Codeine,Codeine/Butalbital/Asa/Caffein,Actavis/Teva,1405303,1750800,1596955,366448,509209
Ezetimibe-Simvastatin,Ezetimibe/Simvastatin,Actavis/Teva,9383665,15588198,10995436,2196902,512184
Hydrocortisone*,Hydrocortisone,Actavis/Teva,1340206,1041148,609176,560322,548678
Verapamil HCl*,Verapamil HCl,Actavis/Teva,1216303,1113998,1342091,1342780,550434
Fulvestrant,Fulvestrant,Actavis/Teva,0,0,118777,348577,566967
Celecoxib,Celecoxib,Actavis/Teva,23971267,16896209,4226950,907922,567905
Hydroxychloroquine Sulfate,Hydroxychloroquine Sulfate,Actavis/Teva,20190893,23822987,28366215,25581083,616256
Valproic Acid,Valproic Acid,Actavis/Teva,841486,1498744,1513821,1445068,619866
Sulindac,Sulindac,Actavis/Teva,1609687,1537318,1332168,1436238,620700
Trientine HCl,Trientine HCl,Actavis/Teva,0,3444110,3265954,1536139,624643
Nystatin-Triamcinolone,Nystatin/Triamcin,Actavis/Teva,5543148,3459902,1676293,1182953,637437
Tetracycline HCl,Tetracycline HCl,Actavis/Teva,1594747,1502486,1979651,1650025,654178
Guanfacine HCl,Guanfacine HCl,Actavis/Teva,131539,235242,276463,789286,671082
Estazolam,Estazolam,Actavis/Teva,1200449,890296,970664,894433,694682
Probenecid,Probenecid,Actavis/Teva,3057188,2999211,3345217,2327879,720160
Pentazocine-Naloxone HCl,Pentazocine HCl/Naloxone HCl,Actavis/Teva,1384122,1214790,1050473,969989,739677
Metformin ER Gastric,Metformin HCl,Actavis/Teva,22621686,40474285,1656238,3362569,760126
Methylphenidate ER,Methylphenidate HCl,Actavis/Teva,19810255,11246513,8337095,3574045,783487
Ciclopirox,Ciclopirox,Actavis/Teva,2936087,2298574,1814411,1322656,821282
Paliperidone ER,Paliperidone,Actavis/Teva,39961740,16678385,2007532,1174161,848670
Desipramine HCl,Desipramine HCl,Actavis/Teva,3825183,2717476,2054301,1523527,1006678
Metaxalone,Metaxalone,Actavis/Teva,313742,1142570,1140938,833624,1025273
Butalbital-Aspirin-Caffeine,Butalbital/Aspirin/Caffeine,Actavis/Teva,2508888,3082513,2914321,1270441,1033937
Fioricet,Butalb/Acetaminophen/Caffeine,Actavis/Teva,1103417,1052697,1066873,1059527,1036096
Potassium Citrate ER,Potassium Citrate,Actavis/Teva,0,1774591,9682696,8313075,1039355
Primidone,Primidone,Actavis/Teva,1443952,1950409,1893929,1763649,1096107
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,Actavis/Teva,3854823,2721873,2078378,3429470,1174857
Nystatin*,Nystatin,Actavis/Teva,3452979,2750213,1794539,2027649,1204091
Trihexyphenidyl HCl,Trihexyphenidyl HCl,Actavis/Teva,1297566,1777665,2310291,2194050,1251669
Chlorzoxazone,Chlorzoxazone,Actavis/Teva,2095970,2997779,3089419,2650259,1252356
Lisinopril,Lisinopril,Actavis/Teva,1918394,1448638,1589779,2372791,1279623
Nabumetone,Nabumetone,Actavis/Teva,3609887,5364393,5294737,4312356,1297243
Duloxetine HCl,Duloxetine HCl,Actavis/Teva,5227958,2720168,2666958,1004603,1350153
Guanfacine HCl ER,Guanfacine HCl,Actavis/Teva,1114512,1439095,1310479,1371353,1378774
Propylthiouracil,Propylthiouracil,Actavis/Teva,1593162,1850955,1421877,1545386,1459476
Azelaic Acid,Azelaic Acid,Actavis/Teva,0,8436,944441,1594992,1477251
Testosterone Cypionate,Testosterone Cypionate,Actavis/Teva,2941096,2874352,1445130,1354652,1528831
Diclofenac Sodium-Misoprostol,Diclofenac Sodium/Misoprostol,Actavis/Teva,4545889,4504637,3879774,2047439,1555799
Lidocaine-Prilocaine,Lidocaine/Prilocaine,Actavis/Teva,10463670,3624355,3537307,3339449,1566927
Betamethasone Diprop Augmented,Betamethasone/Propylene Glyc,Actavis/Teva,3987104,3865711,2904654,2610074,1584066
Valganciclovir HCl,Valganciclovir HCl,Actavis/Teva,1834799,2518424,2168192,2375963,1586546
Tranylcypromine Sulfate,Tranylcypromine Sulfate,Actavis/Teva,2273458,1570905,1473732,1561578,1633547
Tretinoin*,Tretinoin,Actavis/Teva,2237316,1547540,1877589,1429925,1697624
Loxapine,Loxapine Succinate,Actavis/Teva,1745473,1648086,2264360,2201764,1769136
Permethrin,Permethrin,Actavis/Teva,8679173,8004152,8009342,4377934,1770740
Labetalol HCl*,Labetalol HCl,Actavis/Teva,16275972,15504739,12288197,11019168,1785055
Glipizide,Glipizide,Actavis/Teva,6447355,7043776,2036571,1293085,1839872
Ambrisentan,Ambrisentan,Actavis/Teva,0,0,46957967,84760970,1853713
Desonide,Desonide,Actavis/Teva,6455680,3941408,2500789,2060340,2002076
Butalbital-Acetaminophen-Caffe,Butalb/Acetaminophen/Caffeine,Actavis/Teva,8978566,6585696,7292480,3469164,2048191
Ezetimibe,Ezetimibe,Actavis/Teva,37628684,34271012,5320053,3012191,2145847
Perphenazine,Perphenazine,Actavis/Teva,1426190,5504482,6763637,5465273,2174571
Isosorbide Mononitrate,Isosorbide Mononitrate,Actavis/Teva,1741607,1359227,1323293,1344096,2515179
Oxazepam,Oxazepam,Actavis/Teva,3986552,4489976,4154136,3702125,2552946
