Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,Country,Facility Type,EV Pricing
Shottenkirk Chevrolet,5031 Avenue O,Fort Madison,IA,52627,888-998-2546,Public,,4,1,Blink Network,http://www.blinkcharging.com/,GPS,40.624983,-91.37811,5/7/2023,201298,2023-05-07 23:59:10 UTC,11/17/2021,CHADEMO J1772 J1772COMBO,US,,Free
Gwatney Buick GMC,5700 Landers Rd.,North Little Rock,AR,72117,888-998-2546,Public,,,2,Blink Network,http://www.blinkcharging.com/,GPS,34.807598,-92.207032,5/7/2023,213447,2023-05-07 23:59:40 UTC,4/5/2022,CHADEMO J1772COMBO,US,,Free
Reiselman Buick GMC,2516 Memorial Blvd,Springfield,TN,37172,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,36.489658,-86.866421,5/7/2023,213664,2023-05-07 23:59:39 UTC,4/8/2022,CHADEMO J1772COMBO,US,,Free
York Chevy Buick GMC,1501 Indianapolis Road,Greencastle,IN,46135,888-998-2546,Public,,1,1,Blink Network,http://www.blinkcharging.com/,GPS,39.64676,-86.82638,5/7/2023,220410,2023-05-07 23:59:25 UTC,6/1/2022,CHADEMO J1772 J1772COMBO,US,,Free
Clinch Park - Marina Public Parking,107 E Grandview Pkwy,Traverse City,MI,49684,888-998-2546,Public,,4,4,Blink Network,http://www.blinkcharging.com/,GPS,44.766244,-85.623606,5/7/2023,222095,2023-05-07 23:59:11 UTC,6/28/2022,CHADEMO J1772 J1772COMBO,US,,Free
Auto Park Chevrolet Buick GMC,2303 N. Oak Rd.,Plymouth,IN,46563,888-998-2546,Public,,1,1,Blink Network,http://www.blinkcharging.com/,GPS,41.363591,-86.332443,5/7/2023,222150,2023-05-07 23:59:49 UTC,6/29/2022,CHADEMO J1772 J1772COMBO,US,,Free
Peak Kia,5077 S Wadsworth Blvd,Littleton,CO,80123,888-998-2546,Public,,,5,Blink Network,http://www.blinkcharging.com/,GPS,39.62645,-105.09223,5/7/2023,224528,2023-05-07 23:59:33 UTC,7/28/2022,CHADEMO J1772COMBO,US,,Free
Bareford Buick GMC - DCFC,603 Church Lane,Tappahannock,VA,22560,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,37.925311,-76.859481,5/7/2023,225068,2023-05-07 23:59:43 UTC,8/5/2022,CHADEMO J1772COMBO,US,,Free
Wallace Kia - Non-Networked,3131 SE Federal Hwy,Stuart,FL,34994,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,27.167525,-80.22675,5/7/2023,225251,2023-05-07 23:58:43 UTC,8/10/2022,CHADEMO J1772COMBO,US,,Free
Rosen Kia Milwaukee,5565 S 27th St,Milwaukee,WI,53221,888-998-2546,Public,,1,1,Blink Network,http://www.blinkcharging.com/,GPS,42.943668,-87.950095,5/7/2023,225252,2023-05-07 23:59:52 UTC,8/10/2022,J1772 J1772COMBO,US,,Free
West Metro Buick GMC,1001 Highway 25 S,Monticello,MN,53662,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,45.297494,-93.801773,5/7/2023,225556,2023-05-07 23:59:28 UTC,8/15/2022,CHADEMO J1772COMBO,US,,Free
Peter J. Camiel Service Plaza (Milepost 304.8 WB),PA Turnpike 304.8 WB/1 Marsh Road,Elverson,PA,19520,888-998-2546,Public,,2,1,Blink Network,http://www.blinkcharging.com/,GPS,40.121937,-75.776341,5/7/2023,227146,2023-05-07 23:57:52 UTC,9/3/2022,CHADEMO J1772,US,,Free
Mike Haggerty Buick GMC,9100 S Kenton Ave,Oak Lawn,IL,60453,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,41.726936,-87.736723,5/7/2023,227190,2023-05-07 23:59:39 UTC,9/6/2022,CHADEMO J1772COMBO,US,,Free
Huffines Subaru Corinth,6930 South Interstate 35,Corinth,TX,76210,888-998-2546,Public,,2,1,Blink Network,http://www.blinkcharging.com/,GPS,33.142728,-97.053764,5/7/2023,227267,2023-05-07 23:58:41 UTC,9/7/2022,J1772 J1772COMBO,US,,Free
Rosen Nissan Madison,2510 W Beltline Hwy,Madison,WI,53713,888-998-2546,Public,,2,2,Blink Network,http://www.blinkcharging.com/,GPS,43.036336,-89.42125,5/7/2023,229189,2023-05-07 23:58:41 UTC,9/23/2022,CHADEMO J1772 J1772COMBO,US,,Free
Sterling Auto Group - Plug & Charge Units,205 N Earl Rudder Fwy,Bryan,TX,77802,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,30.649031,-96.319644,5/7/2023,229470,2023-05-07 23:58:30 UTC,9/28/2022,J1772COMBO,US,,Free
ZEV Station,101 North Museum Dr,Palm Springs,CA,92262,888-998-2546,Public,,,2,Blink Network,http://www.blinkcharging.com/,GPS,33.824424,-116.549933,5/7/2023,230726,2023-05-07 23:59:33 UTC,9/29/2022,CHADEMO J1772COMBO,US,,Free
South Hero Jolly,337 US-2,South Hero,VT,5486,888-998-2546,Public,,2,2,Blink Network,http://www.blinkcharging.com/,GPS,44.645248,-73.307068,5/7/2023,230728,2023-05-07 23:58:29 UTC,9/29/2022,CHADEMO J1772 J1772COMBO,US,,Free
Tri County Ford,7240 HWY 50,Lamar,CO,81052,888-998-2546,Public,,1,2,Blink Network,http://www.blinkcharging.com/,GPS,38.114463,-102.625339,5/7/2023,238046,2023-05-07 23:59:39 UTC,12/15/2022,CHADEMO J1772 J1772COMBO,US,,Free
Bloomington Subaru,500 American Blvd,Bloomington,MN,55420,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,44.859651,-93.286373,5/7/2023,238059,2023-05-07 23:58:32 UTC,12/15/2022,J1772COMBO,US,,Free
Wheelers Chevrolet GMC,2701 S Maple Ave,Marshfield,WI,54449,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,44.643025,-90.179863,5/7/2023,241179,2023-05-07 23:58:42 UTC,1/6/2023,J1772COMBO,US,,Free
Wheelers Chevy Buick GMC of Wisconsin Rapids,2410 W. Grand Ave.,Wisconsin Rapids,WI,54449,888-998-2546,Public,,,2,Blink Network,http://www.blinkcharging.com/,GPS,44.397152,-89.854021,5/7/2023,241181,2023-05-07 23:58:25 UTC,1/6/2023,J1772COMBO,US,,Free
Blink Charging - Tempe,2404 W 14th St.,Tempe,AZ,85281,888-998-2546,Public,,13,1,Blink Network,http://www.blinkcharging.com/,GPS,33.413919,-111.97483,5/7/2023,250388,2023-05-07 23:59:42 UTC,1/9/2023,CHADEMO J1772 J1772COMBO,US,,Free
Ultimate Auto Group,2488 highway 62 W,Mountain Home,AR,72653,888-998-2546,Public,,1,1,Blink Network,http://www.blinkcharging.com/,GPS,36.315869,-92.404642,5/7/2023,250399,2023-05-07 23:59:40 UTC,1/9/2023,J1772 J1772COMBO,US,,Free
Las Vegas Convention Center,3150 Paradise Rd,Las Vegas,NV,89109,888-998-2546,Public,,6,2,Blink Network,http://www.blinkcharging.com/,GPS,1,-1,5/7/2023,250411,2023-05-07 23:58:09 UTC,1/9/2023,J1772 J1772COMBO,US,,Free
Johnson Jolly,25 VT-15,Johnson,VT,5656,888-998-2546,Public,,2,2,Blink Network,http://www.blinkcharging.com/,GPS,44.635814,-72.692879,5/7/2023,250535,2023-05-07 23:58:09 UTC,1/11/2023,CHADEMO J1772 J1772COMBO,US,,Free
Gee Automotive - Tucson Subaru,4901 North Oracle Road,Tucson,AZ,85704,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,32.295795,-110.979766,5/7/2023,251178,2023-05-07 23:58:48 UTC,1/21/2023,J1772COMBO,US,,Free
Ourisman Chevrolet Buick GMC of Alexandria,1800 Old Richmond Hwy,Alexandria,VA,22303,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,38.791608,-77.061832,5/7/2023,252639,2023-05-07 23:58:58 UTC,1/30/2023,J1772COMBO,US,,Free
Witbecks Family Foods,1026 N McEwan St,Clare,MI,48617,888-998-2546,Public,,,3,Blink Network,http://www.blinkcharging.com/,GPS,43.824784,-84.767783,5/7/2023,253460,2023-05-07 23:58:42 UTC,2/7/2023,CHADEMO J1772COMBO,US,,Free
Burger King - Traverse City,2504 US 31 North,Traverse City,MI,49686,888-998-2546,Public,,,3,Blink Network,http://www.blinkcharging.com/,GPS,44.747145,-85.52629,5/7/2023,253461,2023-05-07 23:59:32 UTC,2/7/2023,CHADEMO J1772COMBO,US,,Free
Park Motor Sales,919 Nashville Highway,Columbia,TN,38401,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,35.633239,-87.021291,5/7/2023,253950,2023-05-07 23:59:47 UTC,2/14/2023,CHADEMO J1772COMBO,US,,Free
NeSmith Chevrolet Buick GMC,1910 E Chenny St,Jesup,GA,31546,888-998-2546,Public,,2,1,Blink Network,http://www.blinkcharging.com/,GPS,31.586653,-81.862887,5/7/2023,254343,2023-05-07 23:59:12 UTC,2/1/2023,J1772 J1772COMBO,US,,Free
MBUSA Jacksonville,13470 International Parkway,Jacksonville,FL,32218,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,30.481846,-81.662412,5/7/2023,254492,2023-05-07 23:59:41 UTC,2/24/2023,J1772COMBO,US,,Free
Van Cadillac,100 Northwest Vivion Road,Kansas City,MO,64118,888-998-2546,Public,,2,1,Blink Network,http://www.blinkcharging.com/,GPS,39.182117,-94.584916,5/7/2023,255162,2023-05-07 23:59:32 UTC,2/20/2023,CHADEMO J1772 J1772COMBO,US,,
Audi Downtown Nashville,15 Lindsley Ave,Nashville,TN,37210,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,36.152941,-86.766647,5/7/2023,256205,2023-05-07 23:58:32 UTC,3/10/2023,J1772COMBO,US,,
Fields BMW Northfield,700 W Frontage Road,Northfield,,60093,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,1,1,5/7/2023,256680,2023-05-07 23:58:32 UTC,3/17/2023,J1772COMBO,US,,
EchoPark Sonic Automotive,4401 Colwick Rd,Charlotte,,28211,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,0,0,5/7/2023,258220,2023-05-07 23:58:35 UTC,4/6/2023,J1772COMBO,US,,
Lincoln Conoco,301 N 1st Street,Yakima,WA,98901,888-998-2546,Public,,,2,Blink Network,http://www.blinkcharging.com/,GPS,46.606236,-120.50777,5/7/2023,259045,2023-05-07 23:58:36 UTC,4/12/2023,J1772COMBO,US,,
Reliable Chevrolet,3655 S Campbell Ave,Springfield,,65807,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,0,0,5/7/2023,259512,2023-05-07 23:58:58 UTC,4/17/2023,J1772COMBO,US,,
Hemborg Ford,1900 Hamner Avenue,Norco,CA,92860,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,33.910219,-117.562073,5/7/2023,259550,2023-05-07 23:58:41 UTC,4/18/2023,J1772COMBO,US,,
Columbus Hyundai,150 Hwy 12 E,Columbus,MS,39702,888-998-2546,Public,,,2,Blink Network,http://www.blinkcharging.com/,GPS,33.521676,-88.362751,5/7/2023,259931,2023-05-07 23:58:58 UTC,4/26/2023,J1772COMBO,US,,
Cavender Buick GMC North,17811 San Pedro,San Antonio,TX,78238,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,29.605556,-98.470555,5/7/2023,260008,2023-05-07 23:59:39 UTC,4/27/2023,CHADEMO J1772COMBO,US,,
Capital Hyundai of Jacksonville,2325 N Marine Blvd,Jacksonville,NC,28546,888-998-2546,Public,,2,1,Blink Network,http://www.blinkcharging.com/,GPS,34.784479,-77.38429,5/7/2023,260212,2023-05-07 23:58:48 UTC,5/2/2023,J1772 J1772COMBO,US,,
Littleton Electric Light & Water Department,39 Ayer Road,Littleton,,1460,888-998-2546,Public,,,1,Blink Network,http://www.blinkcharging.com/,GPS,0,0,5/7/2023,260299,2023-05-07 23:58:45 UTC,5/4/2023,J1772COMBO,US,,
PIE AE HEB E51ST DCFC1,1801 E 51st St,Austin,TX,78723,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,30.302274,-97.697951,5/8/2023,65642,2023-05-08 00:21:33 UTC,2/11/2015,CHADEMO J1772COMBO,US,,
PMHS HOMEWOOD INN,640 S College Ave,Newark,DE,19713,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.659548,-75.753745,5/8/2023,71195,2023-05-08 00:04:58 UTC,11/19/2015,J1772COMBO,US,,
ROYAL FARMS RFS 202 DC #1,105 S Stewart Ave,Ridley Park,PA,19078,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.869269,-75.319227,5/8/2023,71589,2023-05-08 00:05:00 UTC,12/8/2015,J1772COMBO,US,,
FRED MEYER DC S. MEDFORD,1307 Center Dr,Medford,OR,97501,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,42.313893,-122.855354,5/8/2023,71851,2023-05-08 00:04:51 UTC,12/17/2015,J1772COMBO,US,,
FRED MEYER OFF NETWORK1,1101 Grants Pass Pkwy,Grants Pass,OR,97526,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,42.43512,-123.306507,5/8/2023,71852,2023-05-08 00:04:58 UTC,12/17/2015,J1772COMBO,US,,
FRED MEYER DC ROSEBURG,929 NW Garden Valley Blvd,Roseburg,OR,97471,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,43.228342,-123.368717,5/8/2023,71917,2023-05-08 00:04:52 UTC,12/18/2015,J1772COMBO,US,,
SHERATON DC FAST CHARGE,4095 Powder Mill Rd,Beltsville,MD,20705,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.047672,-76.934914,5/8/2023,71923,2023-05-08 00:04:58 UTC,12/18/2015,J1772COMBO,US,,
FRED MEYER DC ALBANY,2500 Santiam Hwy SE,Albany,OR,97322,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,44.631287,-123.076296,5/8/2023,72280,2023-05-08 00:04:58 UTC,12/31/2015,J1772COMBO,US,,
GEORGIA POWER CUMMING DC REMV,1610 Market Pl Blvd,Cumming,GA,30041,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.187507,-84.13101,5/8/2023,72331,2023-05-08 00:05:44 UTC,1/6/2016,CHADEMO J1772COMBO,US,,
WHOLE FOODS MKT DC CRANSTON,151 Sockanosset Cross Rd,Cranston,RI,2920,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.756367,-71.456337,5/8/2023,72476,2023-05-08 00:04:58 UTC,1/9/2016,J1772COMBO,US,,
SOUTH STREET DC FAST 02,27 South St,Manasquan,NJ,8736,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.123547,-74.052784,5/8/2023,74694,2023-05-08 00:05:20 UTC,4/2/2016,J1772COMBO,US,,
GEORGIA POWER BEST WESTERN DC,301 N Central Ave,Hapeville,GA,30354,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.653984,-84.397653,5/8/2023,76862,2023-05-08 00:18:56 UTC,7/2/2016,CHADEMO J1772COMBO,US,,
GEORGIA POWER EPICENTER DC,135 Riverside Pkwy,Austell,GA,30168,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.771288,-84.558434,5/8/2023,76998,2023-05-08 00:05:45 UTC,7/16/2016,CHADEMO J1772COMBO,US,,
GEORGIA POWER CAPTAIN DS REMV,1910 Eatonton Rd,Madison,GA,30650,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.561063,-83.476565,5/8/2023,78609,2023-05-08 00:05:45 UTC,9/23/2016,CHADEMO J1772COMBO,US,,
GEORGIA POWER STAYBRIDGE DC,3420 Norman Berry Dr,Hapeville,GA,30354,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.662898,-84.428118,5/8/2023,78878,2023-05-08 00:19:04 UTC,10/7/2016,CHADEMO J1772COMBO,US,,
ROYAL FARMS RFS 139 DC #1,6 W Lebanon Rd,Dover,DE,19901,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.117778,-75.51617,5/8/2023,80911,2023-05-08 00:07:32 UTC,1/18/2017,CHADEMO J1772COMBO,US,,
GEORGIA POWER GLENWOOD DC,800 Glenwood Ave SE,Atlanta,GA,30316,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.74186,-84.3595,5/8/2023,80931,2023-05-08 00:19:17 UTC,1/19/2017,CHADEMO J1772COMBO,US,,
ROYAL FARMS RFS 142 DC #1,108 Silicato Parkway,Milford,DE,19963,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.927247,-75.417979,5/8/2023,81354,2023-05-08 00:07:32 UTC,2/10/2017,CHADEMO J1772COMBO,US,,
ROYAL FARMS RFS 158 DC #2,20579 Dupont Blvd,Georgetown,DE,19947,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.699176,-75.400529,5/8/2023,81449,2023-05-08 00:07:06 UTC,2/16/2017,CHADEMO J1772COMBO,US,,
DOWNTOWN ACRC QUICK CHAR,101-147 S 13th St,Ashland,NE,68003,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.03874,-96.367104,5/8/2023,81477,2023-05-08 00:06:53 UTC,2/18/2017,CHADEMO J1772COMBO,US,,
ROYAL FARMS RFS 171 DC #2,11112 Laurel Road,Laurel,DE,19956,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.554795,-75.555085,5/8/2023,82080,2023-05-08 00:07:07 UTC,3/25/2017,CHADEMO J1772COMBO,US,,
ROYAL FARMS RFS 146 DC #2,304 N DuPont Blvd,Smyrna,DE,19977,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.306611,-75.606279,5/8/2023,82506,2023-05-08 00:07:06 UTC,5/5/2017,CHADEMO J1772COMBO,US,,
WALMART EVSE BURLINGTON DCEC,2106 Mt Holly Rd,Burlington,NJ,8016,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.048523,-74.842584,5/8/2023,88121,2023-05-08 00:05:45 UTC,10/24/2017,CHADEMO J1772COMBO,US,,
DC CORRIDOR SO SEATTLE COL,6000 16th Ave SW,Seattle,WA,98106,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,47.547708,-122.352708,5/8/2023,96763,2023-05-08 00:07:51 UTC,4/24/2018,CHADEMO J1772COMBO,US,,
PIE AE WEST LAKE DC4,701 S Capital of Texas Hwy,Austin,TX,78746,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,30.292583,-97.827741,5/8/2023,98528,2023-05-08 00:24:48 UTC,5/25/2018,CHADEMO J1772COMBO,US,,
OHIO STATE UNV CAR LEVEL 3,930 Kinnear Rd,Columbus,OH,43212,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.997985,-83.033071,5/8/2023,98595,2023-05-08 00:22:26 UTC,5/30/2018,CHADEMO J1772COMBO,US,,
DC CORRIDOR N SEA COLLEGE,9600 College Way N,Seattle,WA,98103,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,47.699227,-122.334626,5/8/2023,98770,2023-05-08 00:07:36 UTC,6/7/2018,CHADEMO J1772COMBO,US,,
SERVICE DRIVE FAST CHGR MIDDL,4821 Clark Rd,Sarasota,FL,34233,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,27.269824,-82.472343,5/8/2023,99586,2023-05-08 00:11:04 UTC,7/4/2018,J1772COMBO,US,,
LPCO CPE100 01,7805 W Gratz Dr,Boise,ID,83709,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,43.60114,-116.279156,5/8/2023,99646,2023-05-08 00:11:34 UTC,7/10/2018,J1772COMBO,US,,
DC CORRIDOR BOX HILL DC 2,3491 Merchant Boulevard,Abingdon,MD,21009,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.468019,-76.307435,5/8/2023,104220,2023-05-08 00:13:19 UTC,10/19/2018,CHADEMO J1772COMBO,US,,
CITYOFVANCOUVER SOUTH HILL DC 2,646 E 44th Ave,Vancouver,BC,V5W 2Z8,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,49.229904,-123.091351,5/8/2023,104359,2023-05-08 00:11:47 UTC,10/24/2018,CHADEMO J1772COMBO,CA,,
DC CORRIDOR CABIN JOHN DC4,11355 Seven Locks Rd,Potomac,MD,20854,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.042712,-77.157512,5/8/2023,105466,2023-05-08 00:14:13 UTC,12/22/2018,CHADEMO J1772COMBO,US,,
JLR RICHMOND PUBLIC DC 24 KW,5680 Parkwood Crescent,Richmond,BC,V6V 0B5,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,49.173708,-123.075284,5/8/2023,117549,2023-05-08 00:14:35 UTC,1/31/2019,J1772COMBO,CA,,
NATION STATION DC FAST 01,5010 Alameda Blvd NE,Albuquerque,NM,87113,888-758-4389,Public,Mon 8:00am - 5:00pm; Tue 8:00am - 5:00pm; Wed 8:00am - 5:00pm; Thu 8:00am - 5:00pm; Fri 8:00am - 5:00pm; Sat 8:00am - 5:00pm; Sun 8:00am - 5:00pm,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,35.184059,-106.588532,5/8/2023,117858,2023-05-08 00:11:26 UTC,2/14/2019,J1772COMBO,US,,
JLR WEST HOUSTO DC FAST 01,20415 Katy Fwy,Katy,TX,77450,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,29.784253,-95.725419,5/8/2023,118704,2023-05-08 00:14:42 UTC,2/23/2019,J1772COMBO,US,,
FLAG AIRPORT SWIFT TRAVEL,3099 W Shamrell Blvd,Flagstaff,AZ,86005,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,35.139399,-111.682258,5/8/2023,118886,2023-05-08 00:14:50 UTC,2/27/2019,CHADEMO J1772COMBO,US,,
